X,Y,I
0.0001,0.323998,0.2
0.0001,0.323998,0.2
0.0001,0.323998,0.2
0.0001,0.323998,0.2
0.0001,0.323998,0.2
0.0001,0.323998,0.2
0.0001,0.323998,0.2
0.0001,0.323998,0.2
0.0001,0.323998,0.2
0.0001,0.323998,0.2
0.0001,0.323998,0.2
0.0001,0.323998,0.2
0.0001,0.323998,0.2
0.0001,0.323998,0.2
0.0001,0.323998,0.2
0.0001,0.323998,0.2
0.0001,0.323998,0.2
0.0001,0.323998,0.2
0.0001,0.323998,0.2
0.0001,0.323998,0.2
0.000162,0.323996,0.2
0.000185,0.323994,0.2
0.000195,0.323994,0.2
0.000198,0.323993,0.2
0.000199,0.323993,0.2
0.0002,0.323993,0.2
0.0002,0.323993,0.2
0.0002,0.323993,0.2
0.0002,0.323993,0.2
0.0002,0.323993,0.2
0.0002,0.323993,0.2
0.0002,0.323993,0.2
0.0002,0.323993,0.2
0.0002,0.323993,0.2
0.0002,0.323993,0.2
0.0002,0.323993,0.2
0.0002,0.323993,0.2
0.0002,0.323993,0.2
0.0002,0.323993,0.2
0.0002,0.323993,0.2
0.000265,0.323989,0.2
0.000317,0.323984,0.2
0.000358,0.323982,0.2
0.000383,0.323979,0.2
0.000395,0.323977,0.2
0.000398,0.323977,0.2
0.0004,0.323977,0.2
0.0004,0.323977,0.2
0.0004,0.323977,0.2
0.0004,0.323977,0.2
0.0004,0.323977,0.2
0.0004,0.323977,0.2
0.0004,0.323977,0.2
0.0004,0.323977,0.2
0.0004,0.323977,0.2
0.0004,0.323977,0.2
0.0004,0.323977,0.2
0.0004,0.323977,0.2
0.0004,0.323977,0.2
0.0004,0.323977,0.2
0.000485,0.323965,0.2
0.000565,0.323941,0.2
0.000653,0.323918,0.2
0.000709,0.323901,0.2
0.000758,0.323888,0.2
0.000779,0.323879,0.2
0.000791,0.323877,0.2
0.000795,0.323876,0.2
0.000798,0.323875,0.2
0.000798,0.323875,0.2
0.000798,0.323875,0.2
0.000798,0.323875,0.2
0.000798,0.323875,0.2
0.000798,0.323875,0.2
0.000798,0.323875,0.2
0.000798,0.323875,0.2
0.000797,0.323875,0.2
0.000797,0.323875,0.2
0.000797,0.323875,0.2
0.000797,0.323875,0.2
0.000908,0.32384,0.2
0.001027,0.323793,0.2
0.00117,0.32374,0.2
0.001304,0.32368,0.2
0.001418,0.323636,0.2
0.001478,0.323609,0.2
0.001513,0.323594,0.2
0.001536,0.323584,0.2
0.001541,0.323582,0.2
0.001544,0.323581,0.2
0.001546,0.32358,0.2
0.001546,0.32358,0.2
0.001544,0.32358,0.2
0.001542,0.32358,0.2
0.00154,0.32358,0.2
0.001539,0.32358,0.2
0.001539,0.32358,0.2
0.001539,0.32358,0.2
0.001539,0.32358,0.2
0.001538,0.32358,0.2
0.001647,0.323533,0.199999
0.00182,0.323462,0.199999
0.002032,0.323368,0.199999
0.002252,0.323265,0.199999
